"datetime","observation"
"01/01/2023",6.56
"01/02/2023",6.48
"01/03/2023",6.43
"01/04/2023",6.55
"01/05/2023",6.71
"01/06/2023",6.71
"01/07/2023",6.69
"01/08/2023",6.56
"01/09/2023",6.5
"01/10/2023",6.49
"01/11/2023",6.54
"01/12/2023",6.56
"01/13/2023",6.54
"01/14/2023",6.48
"01/15/2023",6.36
"01/16/2023",6.28
"01/17/2023",6.12
"01/18/2023",5.96
"01/19/2023",5.86
"01/20/2023",5.79
"01/21/2023",5.79
"01/22/2023",6.02
"01/23/2023",6.03
"01/24/2023",6.1
"01/25/2023",6.31
"01/26/2023",6.2
"01/27/2023",6.14
"01/28/2023",6.21
"01/29/2023",6.18
"01/30/2023",6.25
"01/31/2023",6.27
"02/01/2023",6.3
"02/02/2023",6.43
"02/03/2023",6.63
"02/04/2023",6.7
"02/05/2023",6.61
"02/06/2023",6.59
"02/07/2023",6.68
"02/08/2023",6.64
"02/09/2023",6.62
"02/10/2023",6.67
"02/11/2023",6.78
"02/12/2023",6.8
"02/13/2023",6.77
"02/14/2023",6.82
"02/15/2023",6.93
"02/16/2023",7
"02/17/2023",7.22
"02/18/2023",7.34
"02/19/2023",7.54
"02/20/2023",7.67
"02/21/2023",7.81
"02/22/2023",7.69
"02/23/2023",7.59
"02/24/2023",7.57
"02/25/2023",7.64
"02/26/2023",7.51
"02/27/2023",7.42
"02/28/2023",7.42
"03/01/2023",7.38
"03/02/2023",7.37
"03/03/2023",7.37
"03/04/2023",7.37
"03/05/2023",7.4
"03/06/2023",7.38
"03/07/2023",7.32
"03/08/2023",7.17
"03/09/2023",6.98
"03/10/2023",6.83
"03/11/2023",6.72
"03/12/2023",6.79
"03/13/2023",7.07
"03/14/2023",6.97
"03/15/2023",6.91
"03/16/2023",7.09
"03/17/2023",7.43
"03/18/2023",7.61
"03/19/2023",7.31
"03/20/2023",7.42
"03/21/2023",7.58
"03/22/2023",7.73
"03/23/2023",7.78
"03/24/2023",7.75
"03/25/2023",7.85
"03/26/2023",7.94
"03/27/2023",7.87
"03/28/2023",7.94
"03/29/2023",8.11
"03/30/2023",8.34
"03/31/2023",8.6
"04/01/2023",8.52
"04/02/2023",8.5
"04/03/2023",8.58
"04/04/2023",8.62
"04/05/2023",8.85
"04/06/2023",9.11
"04/07/2023",8.88
"04/08/2023",8.9
"04/09/2023",8.92
"04/10/2023",8.94
"04/11/2023",8.89
"04/12/2023",8.73
"04/13/2023",8.7
"04/14/2023",8.79
"04/15/2023",8.74
"04/16/2023",9.02
"04/17/2023",9.36
"04/18/2023",9.7
"04/19/2023",9.63
"04/20/2023",9.86
"04/21/2023",9.9
"04/22/2023",9.96
"04/23/2023",9.86
"04/24/2023",9.75
"04/25/2023",9.93
"04/26/2023",9.96
"04/27/2023",10.19
"04/28/2023",10.68
"04/29/2023",11.45
"04/30/2023",11.66
"05/01/2023",11.82
"05/02/2023",11.72
"05/03/2023",11.84
"05/04/2023",11.9
"05/05/2023",11.83
"05/08/2023",12.82
"05/09/2023",12.82
"05/10/2023",12.76
"05/11/2023",12.49
"05/12/2023",12.92
"05/13/2023",12.87
"05/14/2023",13.22
"05/15/2023",12.99
"05/16/2023",13.24
"05/17/2023",13.21
"05/18/2023",13.59
"05/19/2023",13.78
"05/20/2023",14.13
"05/21/2023",13.94
"05/22/2023",13.83
"05/23/2023",14.18
"05/24/2023",14.53
"05/25/2023",14.55
"05/26/2023",15.24
"05/27/2023",15.5
"05/28/2023",15.16
"05/29/2023",15.96
"05/30/2023",17.34
"05/31/2023",16.06
"06/01/2023",16.19
"06/02/2023",17.59
"06/03/2023",17.64
"06/04/2023",18.57
"06/05/2023",19.37
"06/06/2023",19.51
"06/07/2023",19.33
"06/08/2023",19.28
"06/09/2023",19.31
"06/10/2023",19.11
"06/11/2023",19.12
"06/12/2023",19.58
"06/13/2023",19.7
"06/14/2023",20.11
"06/15/2023",21.22
"06/16/2023",20.97
"06/17/2023",20.69
"06/18/2023",20.13
"06/19/2023",19.98
"06/20/2023",20.09
"06/21/2023",20.3
"06/22/2023",20.25
"06/23/2023",20.06
"06/24/2023",19.8
"06/25/2023",19.51
"06/26/2023",19.24
"06/27/2023",18.89
"06/28/2023",18.77
"06/29/2023",18.43
"06/30/2023",18.14
"07/01/2023",17.6
"07/02/2023",17.22
"07/03/2023",17.09
"07/04/2023",16.95
"07/05/2023",16.89
"07/06/2023",16.74
"07/07/2023",16.47
"07/08/2023",16.41
"07/09/2023",16.6
"07/10/2023",17.11
"07/11/2023",16.86
"07/12/2023",16.73
"07/13/2023",16.88
"07/14/2023",16.9
"07/15/2023",16.2
"07/16/2023",16.12
"07/17/2023",16.54
"07/18/2023",17.19
"07/19/2023",16.7
"07/20/2023",16.71
"07/21/2023",16.59
"07/22/2023",16.52
"07/23/2023",16.47
"07/24/2023",16.36
"07/25/2023",16.52
"07/26/2023",16.72
"07/27/2023",17.11
"07/28/2023",16.75
"07/29/2023",16.6
"07/30/2023",16.43
"07/31/2023",16.29
"08/01/2023",16.39
"08/02/2023",16.42
"08/03/2023",16.12
"08/04/2023",16.01
"08/05/2023",15.91
"08/06/2023",16
"08/07/2023",16.18
"08/08/2023",16.65
"08/09/2023",16.85
"08/10/2023",16.74
"08/11/2023",16.77
"08/12/2023",16.61
"08/13/2023",16.46
"08/14/2023",16.6
"08/15/2023",16.76
"08/16/2023",17.1
"08/17/2023",16.89
"08/18/2023",16.9
"08/19/2023",16.87
"08/20/2023",16.75
"08/21/2023",16.59
"08/22/2023",16.49
"08/23/2023",16.45
"08/24/2023",16.41
"08/25/2023",16.37
"08/26/2023",16.25
"08/27/2023",16.21
"08/28/2023",16.17
"08/29/2023",16.14
"08/30/2023",16.14
"08/31/2023",16.12
"09/01/2023",16.69
"09/02/2023",16.81
"09/03/2023",16.89
"09/04/2023",17.09
"09/05/2023",17.38
"09/06/2023",17.27
"09/07/2023",17.82
"09/08/2023",18.48
"09/09/2023",18.83
"09/10/2023",19.44
"09/11/2023",18.89
"09/12/2023",17.97
"09/13/2023",17.35
"09/14/2023",17.02
"09/15/2023",16.73
"09/16/2023",16.44
"09/17/2023",16.38
"09/18/2023",16.17
"09/19/2023",15.98
"09/20/2023",15.82
"09/21/2023",15.73
"09/22/2023",15.46
"09/23/2023",15.25
"09/24/2023",15.14
"09/25/2023",15.02
"09/26/2023",14.98
"09/27/2023",14.85
"09/28/2023",14.7
"09/29/2023",14.57
"09/30/2023",14.49
"10/01/2023",14.47
"10/02/2023",14.46
"10/03/2023",14.42
"10/04/2023",14.35
"10/05/2023",14.38
"10/06/2023",14.45
"10/07/2023",14.58
"10/08/2023",14.68
"10/09/2023",14.81
"10/10/2023",14.84
"10/11/2023",14.78
"10/12/2023",14.61
"10/13/2023",14.45
"10/14/2023",14.25
"10/15/2023",14.1
"10/16/2023",13.93
"10/17/2023",13.71
"10/18/2023",13.5
"10/19/2023",13.47
"10/20/2023",13.47
"10/21/2023",13.34
"10/22/2023",13.29
"10/23/2023",13.1
"10/24/2023",13.04
"10/25/2023",12.94
"10/26/2023",12.82
"10/27/2023",12.71
"10/28/2023",12.6
"10/29/2023",12.54
"10/30/2023",12.48
"10/31/2023",12.4
"11/01/2023",12.29
"11/02/2023",12.09
"11/03/2023",12
"11/04/2023",11.87
"11/05/2023",11.76
"11/06/2023",11.62
"11/07/2023",11.48
"11/08/2023",11.29
"11/09/2023",11.06
"11/10/2023",10.9
"11/11/2023",10.75
"11/12/2023",10.56
"11/13/2023",10.46
"11/14/2023",10.38
"11/15/2023",10.32
"11/16/2023",10.22
"11/17/2023",10.09
"11/18/2023",10.03
"11/19/2023",10.12
"11/20/2023",10.11
"11/21/2023",10.05
"11/22/2023",10.08
"11/23/2023",10.15
"11/24/2023",10.14
"11/25/2023",10.05
"11/26/2023",9.98
"11/27/2023",9.94
"11/28/2023",9.89
"11/29/2023",9.81
"11/30/2023",9.65
"12/01/2023",9.52
"12/02/2023",9.36
"12/03/2023",9.18
"12/04/2023",8.97
"12/05/2023",8.78
"12/06/2023",8.57
"12/07/2023",8.51
"12/08/2023",8.52
"12/09/2023",8.55
"12/10/2023",8.51
"12/11/2023",8.47
"12/12/2023",8.44
"12/13/2023",8.41
"12/14/2023",8.39
"12/15/2023",8.39
"12/16/2023",8.5
"12/17/2023",8.67
"12/18/2023",8.97
"12/19/2023",8.85
"12/20/2023",8.71
"12/21/2023",8.82
"12/22/2023",8.87
"12/23/2023",8.92
"12/24/2023",9.05
"12/25/2023",9.06
"12/26/2023",8.94
"12/27/2023",8.81
"12/28/2023",8.68
"12/29/2023",8.54
"12/30/2023",8.32
"12/31/2023",8.15
"01/01/2024",8.03
"01/02/2024",7.94
"01/03/2024",7.97
"01/04/2024",7.94
"01/05/2024",7.86
"01/06/2024",7.75
"01/07/2024",7.65
"01/08/2024",7.5
"01/09/2024",7.32
"01/10/2024",7.16
"01/11/2024",7.09
"01/12/2024",7.01
"01/13/2024",6.96
"01/14/2024",6.89
"01/15/2024",6.82
"01/16/2024",6.76
"01/17/2024",6.68
"01/18/2024",6.59
"01/19/2024",NA
"01/20/2024",NA
"01/21/2024",NA
"01/22/2024",NA
"01/23/2024",NA
"01/24/2024",NA
"01/25/2024",NA
"01/26/2024",NA
"01/27/2024",NA
"01/28/2024",NA
"01/29/2024",NA
"01/30/2024",NA
"01/31/2024",NA
"02/01/2024",NA
"02/02/2024",NA
"02/03/2024",NA
"02/04/2024",NA
"02/05/2024",NA
"02/06/2024",NA
"02/07/2024",NA
"02/08/2024",NA
"02/09/2024",7.15
"02/10/2024",7.19
"02/11/2024",7.09
"02/12/2024",7.03
"02/13/2024",7.06
"02/14/2024",7.05
"02/15/2024",7.15
"02/16/2024",7.4
"02/17/2024",7.45
"02/18/2024",7.73
"02/19/2024",7.77
"02/20/2024",7.89
"02/21/2024",7.87
"02/22/2024",7.83
"02/23/2024",7.68
"02/24/2024",7.67
"02/25/2024",7.56
"02/26/2024",7.51
"02/27/2024",7.49
"02/28/2024",7.52
"02/29/2024",7.5
"03/01/2024",7.4
"03/02/2024",7.26
"03/03/2024",7.21
"03/04/2024",7.14
"03/05/2024",7.12
"03/06/2024",7.19
"03/07/2024",7.31
"03/08/2024",7.3
"03/09/2024",7.23
"03/10/2024",7.24
"03/11/2024",7.31
"03/12/2024",7.32
"03/13/2024",7.52
"03/14/2024",7.64
"03/15/2024",7.74
"03/16/2024",7.62
"03/17/2024",7.73
"03/18/2024",7.92
"03/19/2024",8.09
"03/20/2024",8.17
"03/21/2024",8.05
"03/22/2024",8.05
"03/23/2024",7.98
"03/24/2024",7.95
"03/25/2024",8
"03/26/2024",8
"03/27/2024",7.96
"03/28/2024",8.19
"03/29/2024",7.97
"03/30/2024",7.97
"03/31/2024",8.02
"04/01/2024",8.1
"04/02/2024",8.37
"04/03/2024",8.58
"04/04/2024",8.76
"04/05/2024",8.6
"04/06/2024",8.69
"04/07/2024",8.64
"04/08/2024",8.71
"04/09/2024",8.71
"04/10/2024",8.72
"04/11/2024",8.95
"04/12/2024",9.29
"04/13/2024",9.48
"04/14/2024",9.47
"04/15/2024",9.28
"04/16/2024",9.24
"04/17/2024",9.26
"04/18/2024",9.43
"04/19/2024",9.55
"04/20/2024",10.07
"04/21/2024",11.02
"04/22/2024",9.95
"04/23/2024",10.33
"04/24/2024",11.33
"04/25/2024",11.11
"04/26/2024",10.43
"04/27/2024",10.79
"04/28/2024",10.78
"04/29/2024",10.95
"04/30/2024",11.19
"05/01/2024",10.86
"05/02/2024",10.99
"05/03/2024",11.01
"05/04/2024",11.11
"05/05/2024",11.68
"05/06/2024",11.23
"05/07/2024",11.58
"05/08/2024",11.81
"05/09/2024",12.34
"05/10/2024",13.08
"05/11/2024",13.83
"05/12/2024",14.5
"05/13/2024",14.1
"05/14/2024",13.9
"05/15/2024",14.39
"05/16/2024",14.48
"05/17/2024",13.07
"05/18/2024",12.97
"05/19/2024",13.8
"05/20/2024",15.02
"05/21/2024",15.85
"05/22/2024",14.41
"05/23/2024",13.53
"05/24/2024",14.62
"05/25/2024",14.33
"05/26/2024",14.21
"05/27/2024",14.15
"05/28/2024",14.04
"05/29/2024",14.03
"05/30/2024",13.58
"05/31/2024",13.62
"06/01/2024",14.24
"06/02/2024",14.47
"06/03/2024",14.96
"06/04/2024",14.56
"06/05/2024",14.31
"06/06/2024",14.17
"06/07/2024",14.19
"06/08/2024",14.16
"06/09/2024",14.01
"06/10/2024",14.01
"06/11/2024",14.08
"06/12/2024",14.22
"06/13/2024",14.47
"06/14/2024",14.64
"06/15/2024",14.8
"06/16/2024",14.73
"06/17/2024",14.41
"06/18/2024",14.38
"06/19/2024",14.88
"06/20/2024",15.1
"06/21/2024",15.07
"06/22/2024",15.05
"06/23/2024",15.24
"06/24/2024",15.49
"06/25/2024",15.97
"06/26/2024",15.47
"06/27/2024",14.99
"06/28/2024",14.65
"06/29/2024",14.78
"06/30/2024",14.78
"07/01/2024",14.75
"07/02/2024",14.75
"07/03/2024",14.72
"07/04/2024",14.63
"07/05/2024",14.73
"07/06/2024",14.75
"07/07/2024",14.88
"07/08/2024",15.35
"07/09/2024",14.98
"07/10/2024",14.89
"07/11/2024",14.94
"07/12/2024",15.16
"07/13/2024",15.19
"07/14/2024",15.97
"07/15/2024",16.91
"07/16/2024",16.43
"07/17/2024",16.46
"07/18/2024",16.94
"07/19/2024",16.54
"07/20/2024",16.33
"07/21/2024",16.09
"07/22/2024",16.22
"07/23/2024",16.37
"07/24/2024",NA
"07/25/2024",NA
"07/26/2024",NA
"07/27/2024",NA
"07/28/2024",NA
"07/29/2024",NA
"07/30/2024",NA
"07/31/2024",NA
"08/01/2024",NA
"08/02/2024",NA
"08/03/2024",NA
"08/04/2024",NA
"08/05/2024",NA
"08/06/2024",NA
"08/07/2024",NA
"08/08/2024",NA
"08/09/2024",NA
"08/10/2024",NA
"08/11/2024",NA
"08/12/2024",NA
"08/13/2024",NA
